STATE,FIP,deaths,pop,fat_rate,Year
Alabama,01,1046,4863300,21.51,2016
Alaska,02,177,741894,23.86,2016
Arizona,04,1094,6931071,15.78,2016
Arkansas,05,541,2988248,18.1,2016
California,06,3184,39250017,8.11,2016
Colorado,08,812,5540545,14.66,2016
Connecticut,09,172,3576452,4.81,2016
Delaware,10,111,952065,11.66,2016
District of Columbia,11,107,681170,15.71,2016
Florida,12,2704,20612439,13.12,2016
Georgia,13,1571,10310371,15.24,2016
Hawaii,15,66,1428557,4.62,2016
Idaho,16,242,1683140,14.38,2016
Illinois,17,1490,12801539,11.64,2016
Indiana,18,997,6633053,15.03,2016
Iowa,19,288,3134693,9.19,2016
Kansas,20,383,2907289,13.17,2016
Kentucky,21,772,4436974,17.4,2016
Louisiana,22,987,4681666,21.08,2016
Maine,23,123,1331479,9.24,2016
Maryland,24,707,6016447,11.75,2016
Massachusetts,25,242,6811779,3.55,2016
Michigan,26,1230,9928300,12.39,2016
Minnesota,27,432,5519952,7.83,2016
Mississippi,28,587,2988726,19.64,2016
Missouri,29,1144,6093000,18.78,2016
Montana,30,194,1042520,18.61,2016
Nebraska,31,171,1907116,8.97,2016
Nevada,32,498,2940058,16.94,2016
New Hampshire,33,132,1334795,9.89,2016
New Jersey,34,485,8944469,5.42,2016
New Mexico,35,383,2081015,18.4,2016
New York,36,900,19745289,4.56,2016
North Carolina,37,1409,10146788,13.89,2016
North Dakota,38,90,757952,11.87,2016
Ohio,39,1524,11614373,13.12,2016
Oklahoma,40,766,3923561,19.52,2016
Oregon,41,513,4093465,12.53,2016
Pennsylvania,42,1555,12784227,12.16,2016
Rhode Island,44,49,1056426,4.64,2016
South Carolina,45,891,4961119,17.96,2016
South Dakota,46,108,865454,12.48,2016
Tennessee,47,1148,6651194,17.26,2016
Texas,48,3353,27862596,12.03,2016
Utah,49,370,3051217,12.13,2016
Vermont,50,78,624594,12.49,2016
Virginia,51,1049,8411808,12.47,2016
Washington,53,686,7288000,9.41,2016
West Virginia,54,332,1831102,18.13,2016
Wisconsin,55,664,5778708,11.49,2016
Wyoming,56,101,585501,17.25,2016
Alabama,01,958,4853875,19.74,2015
Alaska,02,177,737709,23.99,2015
Arizona,04,970,6817565,14.23,2015
Arkansas,05,520,2977853,17.46,2015
California,06,3095,38993940,7.94,2015
Colorado,08,701,5448819,12.87,2015
Connecticut,09,189,3584730,5.27,2015
Delaware,10,112,944076,11.86,2015
District of Columbia,11,120,670377,17.9,2015
Florida,12,2559,20244914,12.64,2015
Georgia,13,1448,10199398,14.2,2015
Hawaii,15,55,1425157,3.86,2015
Idaho,16,247,1652828,14.94,2015
Illinois,17,1220,12839047,9.5,2015
Indiana,18,846,6612768,12.79,2015
Iowa,19,247,3121997,7.91,2015
Kansas,20,330,2906721,11.35,2015
Kentucky,21,694,4424611,15.68,2015
Louisiana,22,952,4668960,20.39,2015
Maine,23,144,1329453,10.83,2015
Maryland,24,708,5994983,11.81,2015
Massachusetts,25,213,6784240,3.14,2015
Michigan,26,1164,9917715,11.74,2015
Minnesota,27,410,5482435,7.48,2015
Mississippi,28,589,2989390,19.7,2015
Missouri,29,1094,6076204,18.0,2015
Montana,30,205,1032073,19.86,2015
Nebraska,31,169,1893765,8.92,2015
Nevada,32,446,2883758,15.47,2015
New Hampshire,33,121,1330111,9.1,2015
New Jersey,34,475,8935421,5.32,2015
New Mexico,35,390,2080328,18.75,2015
New York,36,849,19747183,4.3,2015
North Carolina,37,1289,10035186,12.84,2015
North Dakota,38,92,756835,12.16,2015
Ohio,39,1397,11605090,12.04,2015
Oklahoma,40,706,3907414,18.07,2015
Oregon,41,486,4024634,12.08,2015
Pennsylvania,42,1485,12791904,11.61,2015
Rhode Island,44,51,1055607,4.83,2015
South Carolina,45,850,4894834,17.37,2015
South Dakota,46,96,857919,11.19,2015
Tennessee,47,1075,6595056,16.3,2015
Texas,48,3203,27429639,11.68,2015
Utah,49,367,2990632,12.27,2015
Vermont,50,70,626088,11.18,2015
Virginia,51,946,8367587,11.31,2015
Washington,53,718,7160290,10.03,2015
West Virginia,54,278,1841053,15.1,2015
Wisconsin,55,613,5767891,10.63,2015
Wyoming,56,113,586555,19.27,2015
Alabama,01,815,4843214,16.83,2014
Alaska,02,145,736705,19.68,2014
Arizona,04,927,6719993,13.79,2014
Arkansas,05,496,2966912,16.72,2014
California,06,2942,38680810,7.61,2014
Colorado,08,663,5349648,12.39,2014
Connecticut,09,187,3591873,5.21,2014
Delaware,10,102,934948,10.91,2014
District of Columbia,11,86,659005,13.05,2014
Florida,12,2410,19888741,12.12,2014
Georgia,13,1391,10087231,13.79,2014
Hawaii,15,40,1416349,2.82,2014
Idaho,16,213,1633532,13.04,2014
Illinois,17,1179,12867544,9.16,2014
Indiana,18,818,6595233,12.4,2014
Iowa,19,241,3108030,7.75,2014
Kansas,20,329,2899360,11.35,2014
Kentucky,21,634,4413057,14.37,2014
Louisiana,22,896,4647880,19.28,2014
Maine,23,133,1330719,9.99,2014
Maryland,24,546,5967295,9.15,2014
Massachusetts,25,226,6749911,3.35,2014
Michigan,26,1095,9915767,11.04,2014
Minnesota,27,377,5453109,6.91,2014
Mississippi,28,547,2992400,18.28,2014
Missouri,29,943,6060930,15.56,2014
Montana,30,172,1022867,16.82,2014
Nebraska,31,179,1881145,9.52,2014
Nevada,32,429,2833013,15.14,2014
New Hampshire,33,122,1328743,9.18,2014
New Jersey,34,468,8925001,5.24,2014
New Mexico,35,340,2083024,16.32,2014
New York,36,875,19718515,4.44,2014
North Carolina,37,1206,9934399,12.14,2014
North Dakota,38,96,739904,12.97,2014
Ohio,39,1211,11594408,10.44,2014
Oklahoma,40,611,3877499,15.76,2014
Oregon,41,497,3968371,12.52,2014
Pennsylvania,42,1390,12790565,10.87,2014
Rhode Island,44,34,1054480,3.22,2014
South Carolina,45,767,4828430,15.89,2014
South Dakota,46,89,852561,10.44,2014
Tennessee,47,1016,6544663,15.52,2014
Texas,48,2848,26944751,10.57,2014
Utah,49,337,2941836,11.46,2014
Vermont,50,69,626984,11.01,2014
Virginia,51,889,8317372,10.69,2014
Washington,53,702,7054196,9.95,2014
West Virginia,54,286,1848514,15.47,2014
Wisconsin,55,487,5758377,8.46,2014
Wyoming,56,93,583642,15.93,2014
Alabama,01,860,4829479,17.81,2013
Alaska,02,144,736879,19.54,2013
Arizona,04,941,6624617,14.2,2013
Arkansas,05,501,2958663,16.93,2013
California,06,3026,38335203,7.89,2013
Colorado,08,619,5267603,11.75,2013
Connecticut,09,161,3596003,4.48,2013
Delaware,10,100,925395,10.81,2013
District of Columbia,11,71,649165,10.94,2013
Florida,12,2442,19582022,12.47,2013
Georgia,13,1262,9984938,12.64,2013
Hawaii,15,38,1406481,2.7,2013
Idaho,16,227,1612011,14.08,2013
Illinois,17,1117,12879505,8.67,2013
Indiana,18,857,6569102,13.05,2013
Iowa,19,253,3091930,8.18,2013
Kansas,20,331,2892821,11.44,2013
Kentucky,21,622,4400477,14.13,2013
Louisiana,22,886,4626402,19.15,2013
Maine,23,158,1329076,11.89,2013
Maryland,24,578,5931129,9.75,2013
Massachusetts,25,213,6706786,3.18,2013
Michigan,26,1190,9898982,12.02,2013
Minnesota,27,427,5418521,7.88,2013
Mississippi,28,525,2990482,17.56,2013
Missouri,29,880,6042711,14.56,2013
Montana,30,172,1014314,16.96,2013
Nebraska,31,168,1868559,8.99,2013
Nevada,32,395,2786464,14.18,2013
New Hampshire,33,93,1322687,7.03,2013
New Jersey,34,506,8899162,5.69,2013
New Mexico,35,326,2085193,15.63,2013
New York,36,863,19673546,4.39,2013
North Carolina,37,1223,9841590,12.43,2013
North Dakota,38,86,724019,11.88,2013
Ohio,39,1289,11570022,11.14,2013
Oklahoma,40,632,3852415,16.41,2013
Oregon,41,462,3925751,11.77,2013
Pennsylvania,42,1451,12781338,11.35,2013
Rhode Island,44,56,1053033,5.32,2013
South Carolina,45,745,4767894,15.63,2013
South Dakota,46,80,844922,9.47,2013
Tennessee,47,1030,6494821,15.86,2013
Texas,48,2778,26473525,10.49,2013
Utah,49,339,2902663,11.68,2013
Vermont,50,65,627140,10.36,2013
Virginia,51,864,8262692,10.46,2013
Washington,53,632,6968006,9.07,2013
West Virginia,54,280,1853231,15.11,2013
Wisconsin,55,570,5742854,9.93,2013
Wyoming,56,102,582684,17.51,2013
Alabama,01,831,4815960,17.26,2012
Alaska,02,132,731089,18.06,2012
Arizona,04,946,6549634,14.44,2012
Arkansas,05,490,2950685,16.61,2012
California,06,3068,38011074,8.07,2012
