STATE,FIP,Year,deaths,pop,fat_rate,own_rate
Alabama,01,2016,1046,4863300,21.51,0.528
Alaska,02,2016,177,741894,23.86,0.572
Arizona,04,2016,1094,6931071,15.78,0.36
Arkansas,05,2016,541,2988248,18.1,0.518
California,06,2016,3184,39250017,8.11,0.163
Colorado,08,2016,812,5540545,14.66,0.379
Connecticut,09,2016,172,3576452,4.81,0.188
Delaware,10,2016,111,952065,11.66,0.387
Florida,12,2016,2704,20612439,13.12,0.288
Georgia,13,2016,1571,10310371,15.24,0.377
Hawaii,15,2016,66,1428557,4.62,0.091
Idaho,16,2016,242,1683140,14.38,0.578
Illinois,17,2016,1490,12801539,11.64,0.226
Indiana,18,2016,997,6633053,15.03,0.424
Iowa,19,2016,288,3134693,9.19,0.385
Kansas,20,2016,383,2907289,13.17,0.423
Kentucky,21,2016,772,4436974,17.4,0.525
Louisiana,22,2016,987,4681666,21.08,0.523
Maine,23,2016,123,1331479,9.24,0.477
Maryland,24,2016,707,6016447,11.75,0.167
Massachusetts,25,2016,242,6811779,3.55,0.09
Michigan,26,2016,1230,9928300,12.39,0.389
Minnesota,27,2016,432,5519952,7.83,0.391
Mississippi,28,2016,587,2988726,19.64,0.541
Missouri,29,2016,1144,6093000,18.78,0.528
Montana,30,2016,194,1042520,18.61,0.65
Nebraska,31,2016,171,1907116,8.97,0.392
Nevada,32,2016,498,2940058,16.94,0.329
New Hampshire,33,2016,132,1334795,9.89,0.463
New Jersey,34,2016,485,8944469,5.42,0.089
New Mexico,35,2016,383,2081015,18.4,0.359
New York,36,2016,900,19745289,4.56,0.145
North Carolina,37,2016,1409,10146788,13.89,0.371
North Dakota,38,2016,90,757952,11.87,0.533
Ohio,39,2016,1524,11614373,13.12,0.419
Oklahoma,40,2016,766,3923561,19.52,0.549
Oregon,41,2016,513,4093465,12.53,0.414
Pennsylvania,42,2016,1555,12784227,12.16,0.402
Rhode Island,44,2016,49,1056426,4.64,0.139
South Carolina,45,2016,891,4961119,17.96,0.45
South Dakota,46,2016,108,865454,12.48,0.55
Tennessee,47,2016,1148,6651194,17.26,0.469
Texas,48,2016,3353,27862596,12.03,0.355
Utah,49,2016,370,3051217,12.13,0.397
Vermont,50,2016,78,624594,12.49,0.503
Virginia,51,2016,1049,8411808,12.47,0.353
Washington,53,2016,686,7288000,9.41,0.321
West Virginia,54,2016,332,1831102,18.13,0.6
Wisconsin,55,2016,664,5778708,11.49,0.471
Wyoming,56,2016,101,585501,17.25,0.607
Alabama,01,2015,958,4853875,19.74,0.495
Alaska,02,2015,177,737709,23.99,0.551
Arizona,04,2015,970,6817565,14.23,0.36
Arkansas,05,2015,520,2977853,17.46,0.462
California,06,2015,3095,38993940,7.94,0.151
Colorado,08,2015,701,5448819,12.87,0.369
Connecticut,09,2015,189,3584730,5.27,0.192
Delaware,10,2015,112,944076,11.86,0.32
Florida,12,2015,2559,20244914,12.64,0.277
Georgia,13,2015,1448,10199398,14.2,0.361
Hawaii,15,2015,55,1425157,3.86,0.096
Idaho,16,2015,247,1652828,14.94,0.509
Illinois,17,2015,1220,12839047,9.5,0.238
Indiana,18,2015,846,6612768,12.79,0.394
Iowa,19,2015,247,3121997,7.91,0.36
Kansas,20,2015,330,2906721,11.35,0.377
Kentucky,21,2015,694,4424611,15.68,0.464
Louisiana,22,2015,952,4668960,20.39,0.456
Maine,23,2015,144,1329453,10.83,0.413
Maryland,24,2015,708,5994983,11.81,0.201
Massachusetts,25,2015,213,6784240,3.14,0.088
Michigan,26,2015,1164,9917715,11.74,0.358
Minnesota,27,2015,410,5482435,7.48,0.341
Mississippi,28,2015,589,2989390,19.7,0.474
Missouri,29,2015,1094,6076204,18.0,0.488
Montana,30,2015,205,1032073,19.86,0.608
Nebraska,31,2015,169,1893765,8.92,0.362
Nevada,32,2015,446,2883758,15.47,0.328
New Hampshire,33,2015,121,1330111,9.1,0.372
New Jersey,34,2015,475,8935421,5.32,0.081
New Mexico,35,2015,390,2080328,18.75,0.37
New York,36,2015,849,19747183,4.3,0.119
North Carolina,37,2015,1289,10035186,12.84,0.316
North Dakota,38,2015,92,756835,12.16,0.504
Ohio,39,2015,1397,11605090,12.04,0.388
Oklahoma,40,2015,706,3907414,18.07,0.487
Oregon,41,2015,486,4024634,12.08,0.407
Pennsylvania,42,2015,1485,12791904,11.61,0.368
Rhode Island,44,2015,51,1055607,4.83,0.151
South Carolina,45,2015,850,4894834,17.37,0.393
South Dakota,46,2015,96,857919,11.19,0.492
Tennessee,47,2015,1075,6595056,16.3,0.416
Texas,48,2015,3203,27429639,11.68,0.336
Utah,49,2015,367,2990632,12.27,0.35
Vermont,50,2015,70,626088,11.18,0.43
Virginia,51,2015,946,8367587,11.31,0.345
Washington,53,2015,718,7160290,10.03,0.318
West Virginia,54,2015,278,1841053,15.1,0.537
Wisconsin,55,2015,613,5767891,10.63,0.434
Wyoming,56,2015,113,586555,19.27,0.549
Alabama,01,2014,815,4843214,16.83,0.51
Alaska,02,2014,145,736705,19.68,0.618
Arizona,04,2014,927,6719993,13.79,0.385
Arkansas,05,2014,496,2966912,16.72,0.493
California,06,2014,2942,38680810,7.61,0.183
Colorado,08,2014,663,5349648,12.39,0.385
Connecticut,09,2014,187,3591873,5.21,0.2
Delaware,10,2014,102,934948,10.91,0.301
Florida,12,2014,2410,19888741,12.12,0.284
Georgia,13,2014,1391,10087231,13.79,0.382
Hawaii,15,2014,40,1416349,2.82,0.034
Idaho,16,2014,213,1633532,13.04,0.53
Illinois,17,2014,1179,12867544,9.16,0.238
Indiana,18,2014,818,6595233,12.4,0.424
Iowa,19,2014,241,3108030,7.75,0.331
Kansas,20,2014,329,2899360,11.35,0.419
Kentucky,21,2014,634,4413057,14.37,0.467
Louisiana,22,2014,896,4647880,19.28,0.481
Maine,23,2014,133,1330719,9.99,0.423
Maryland,24,2014,546,5967295,9.15,0.219
Massachusetts,25,2014,226,6749911,3.35,0.1
Michigan,26,2014,1095,9915767,11.04,0.347
Minnesota,27,2014,377,5453109,6.91,0.353
Mississippi,28,2014,547,2992400,18.28,0.488
Missouri,29,2014,943,6060930,15.56,0.497
Montana,30,2014,172,1022867,16.82,0.64
Nebraska,31,2014,179,1881145,9.52,0.365
Nevada,32,2014,429,2833013,15.14,0.344
New Hampshire,33,2014,122,1328743,9.18,0.381
New Jersey,34,2014,468,8925001,5.24,0.097
New Mexico,35,2014,340,2083024,16.32,0.356
New York,36,2014,875,19718515,4.44,0.126
North Carolina,37,2014,1206,9934399,12.14,0.334
North Dakota,38,2014,96,739904,12.97,0.57
Ohio,39,2014,1211,11594408,10.44,0.366
Oklahoma,40,2014,611,3877499,15.76,0.493
Oregon,41,2014,497,3968371,12.52,0.462
Pennsylvania,42,2014,1390,12790565,10.87,0.361
Rhode Island,44,2014,34,1054480,3.22,0.1
South Carolina,45,2014,767,4828430,15.89,0.42
South Dakota,46,2014,89,852561,10.44,0.5
Tennessee,47,2014,1016,6544663,15.52,0.427
Texas,48,2014,2848,26944751,10.57,0.385
Utah,49,2014,337,2941836,11.46,0.349
Vermont,50,2014,69,626984,11.01,0.437
Virginia,51,2014,889,8317372,10.69,0.362
Washington,53,2014,702,7054196,9.95,0.335
West Virginia,54,2014,286,1848514,15.47,0.547
Wisconsin,55,2014,487,5758377,8.46,0.434
Wyoming,56,2014,93,583642,15.93,0.608
Alabama,01,2013,860,4829479,17.81,0.516
Alaska,02,2013,144,736879,19.54,0.576
Arizona,04,2013,941,6624617,14.2,0.366
Arkansas,05,2013,501,2958663,16.93,0.5
California,06,2013,3026,38335203,7.89,0.155
Colorado,08,2013,619,5267603,11.75,0.394
Connecticut,09,2013,161,3596003,4.48,0.141
Delaware,10,2013,100,925395,10.81,0.289
Florida,12,2013,2442,19582022,12.47,0.279
Georgia,13,2013,1262,9984938,12.64,0.379
Hawaii,15,2013,38,1406481,2.7,0.073
Idaho,16,2013,227,1612011,14.08,0.542
Illinois,17,2013,1117,12879505,8.67,0.244
Indiana,18,2013,857,6569102,13.05,0.406
Iowa,19,2013,253,3091930,8.18,0.401
Kansas,20,2013,331,2892821,11.44,0.452
Kentucky,21,2013,622,4400477,14.13,0.498
Louisiana,22,2013,886,4626402,19.15,0.487
Maine,23,2013,158,1329076,11.89,0.496
Maryland,24,2013,578,5931129,9.75,0.18
Massachusetts,25,2013,213,6706786,3.18,0.085
Michigan,26,2013,1190,9898982,12.02,0.36
Minnesota,27,2013,427,5418521,7.88,0.424
Mississippi,28,2013,525,2990482,17.56,0.502
Missouri,29,2013,880,6042711,14.56,0.486
Montana,30,2013,172,1014314,16.96,0.633
Nebraska,31,2013,168,1868559,8.99,0.405
Nevada,32,2013,395,2786464,14.18,0.351
New Hampshire,33,2013,93,1322687,7.03,0.406
New Jersey,34,2013,506,8899162,5.69,0.056
New Mexico,35,2013,326,2085193,15.63,0.482
New York,36,2013,863,19673546,4.39,0.124
North Carolina,37,2013,1223,9841590,12.43,0.355
North Dakota,38,2013,86,724019,11.88,0.567
Ohio,39,2013,1289,11570022,11.14,0.359
Oklahoma,40,2013,632,3852415,16.41,0.537
Oregon,41,2013,462,3925751,11.77,0.456
Pennsylvania,42,2013,1451,12781338,11.35,0.368
Rhode Island,44,2013,56,1053033,5.32,0.09
South Carolina,45,2013,745,4767894,15.63,0.445
South Dakota,46,2013,80,844922,9.47,0.523
Tennessee,47,2013,1030,6494821,15.86,0.469
Texas,48,2013,2778,26473525,10.49,0.364
Utah,49,2013,339,2902663,11.68,0.425
Vermont,50,2013,65,627140,10.36,0.483
Virginia,51,2013,864,8262692,10.46,0.37
Washington,53,2013,632,6968006,9.07,0.344
West Virginia,54,2013,280,1853231,15.11,0.602
Wisconsin,55,2013,570,5742854,9.93,0.448
Wyoming,56,2013,102,582684,17.51,0.613
Alabama,01,2012,831,4815960,17.26,0.543
Alaska,02,2012,132,731089,18.06,0.607
Arizona,04,2012,946,6549634,14.44,0.415
Arkansas,05,2012,490,2950685,16.61,0.544
California,06,2012,3068,38011074,8.07,0.214
Colorado,08,2012,672,5189867,12.95,0.414
Connecticut,09,2012,227,3593795,6.32,0.183
Delaware,10,2012,96,916993,10.47,0.308
Florida,12,2012,2473,19344156,12.78,0.309
Georgia,13,2012,1286,9914668,12.97,0.401
Hawaii,15,2012,51,1391820,3.66,0.12
Idaho,16,2012,207,1595911,12.97,0.552
Illinois,17,2012,1178,12870798,9.15,0.266
Indiana,18,2012,800,6537743,12.24,0.432
Iowa,19,2012,217,3076310,7.05,0.409
Kansas,20,2012,377,2885262,13.07,0.455
Kentucky,21,2012,655,4384799,14.94,0.514
Louisiana,22,2012,845,4603429,18.36,0.551
Maine,23,2012,130,1328895,9.78,0.46
Maryland,24,2012,589,5889651,10.0,0.213
Massachusetts,25,2012,233,6658008,3.5,0.111
Michigan,26,2012,1222,9887238,12.36,0.391
Minnesota,27,2012,382,5380285,7.1,0.382
Mississippi,28,2012,535,2984945,17.92,0.568
Missouri,29,2012,882,6025415,14.64,0.511
Montana,30,2012,171,1005196,17.01,0.658
Nebraska,31,2012,167,1855725,9.0,0.416
